Party,Rank,Name,Votes
sp.a
N-VA
,1,NEVENS Bart,996
,2,LEDENS Sabine,546
,3,VANHEEL Harold,481
,4,VAN ROEY Kristof,457
,5,VANHOOF Hans,375
,6,DEBAETSELIER Melody,349
,7,HEREMANS Anneke,267
CD&V
,1,THIENPONT Alexandra,1563
,2,MOONS Wim,1161
,3,GOEMINNE Kristien,912
,4,TAES Chris,794
,5,OUTTIER-VANNEREM Ann,553
,6,DE BECKER René,517
,7,DE GREEF Frie,369
,8,VERMEULEN Barbara,314
,9,GRAULS-GYSENBERGS Els,271
,10,PIOT Jonas,270
,11,LANGMANS Gabriëla,268
Groen
,1,VANDERVELDE Mia,448
,2,VERDEYEN An,286
,3,SCHILLEBEECKX Elke,231
Open Vld
,1,RYCKMANS Stef,462
,2,HAELTERMAN David,574
,3,VAN DE CASTEELE Ann,454
,4,WILLEMS Maarten,454
,5,WILLEMS Erwin,338
KNV
,1,VAN GREUNINGEN Marinus,265
