Rank,Category,Name,Description,Readme,Actions,Searches,Triggers,Feeders
1,Productivity,Google Sheets,"Connect Google Sheets with any of your favorite apps in just a few clicks. Design, build, and automate anything for your work by integrating apps like Google Sheets to create visual automated workflows. Choose from thousands of ready-made apps or use our no-code toolkit to connect to apps not yet in our library.",docs\google-sheets.md,"Add a Conditional Format Rule: Creates a new conditional format rule at the given index. All subsequent rules' indexes are incremented.
Add a Row: Appends a new row to the bottom of the table.
Add a Sheet: Adds a new sheet.
Clear a Cell: Cleares a specific cell.
Clear a Row: Clears values from a specific row.
Clear Values from a Range: Clears a specified range of values from a spreadsheet.
Copy a Sheet: Copies a sheet to another spreadsheet.
Create a Spreadsheet: Creates a new spreadsheet.
Create a Spreadsheet from a Template: Creates a new spreadsheet from a template sheet.
Delete a Conditional Format Rule: Deletes a conditional format rule at the given index. All subsequent rules' indexes are decremented.
Delete a Row: Deletes a specific row.
Delete a Sheet: Deletes a specific sheet.
Get a Cell: Gets a specific cell.
Make an API Call: Performs an arbitrary authorized API call.
Perform a Function - Responder: Returns processed data as a result of the MAKE_FUNCTION or INTEGROMAT function. Sheets Add-On required.
Rename a Sheet: Renames a specific sheet.
Update a Cell: Updates a specific cell.
Update a Row: Updates a row.","Get Range Values: Gets a range content.
List Sheets: Gets a list of all sheets in a spreadsheet.
Search Rows: Returns results matching the given criteria.
Search Rows (Advanced): Returns results matching the given criteria. This module doesn't return a row number.","Perform a Function: Receives data passed to the function MAKE_FUNCTION or INTEGROMAT used in a sheet. Sheets Add-On required.
Watch Changes: Triggers when a cell is updated. Watches only changes made in Google Sheet app. Sheets Add-On required.
Watch New Rows: Triggers when a new row is added.",
2,Communication,Gmail,"Connect Gmail with any of your favorite apps in just a few clicks. Design, build, and automate anything for your work by integrating apps like Gmail to create visual automated workflows. Choose from thousands of ready-made apps or use our no-code toolkit to connect to apps not yet in our library.",docs\google-email.md,"Copy an Email: Copies an email or a draft into a selected folder.
Create a Draft: Creates a new draft and adds it to a selected folder.
Delete an Email: Removes an email or a draft from a selected folder.
Mark an Email as Read: Marks an email or a draft in a selected directory as read by setting the ""Read"" flag.
Mark an Email as Unread: Marks an email or draft in a selected directory as unread by setting the ""Unread"" flag.
Modify Email Labels: Modifies labels on the specified email message.
Move an Email: Moves a chosen email or a draft to a selected folder.
Send an Email: Sends a new email.",,Watch Emails: Triggers when a new email is received to be processed according to specified criteria.,Iterate Attachments: Iterates through received attachments.
3,It-Development,Airtable,"Connect Airtable with any of your favorite apps in just a few clicks. Design, build, and automate anything for your work by integrating apps like Airtable to create visual automated workflows. Choose from thousands of ready-made apps or use our no-code toolkit to connect to apps not yet in our library.",docs\airtable.md,"Create a Record: Creates a new record in Airtable.
Delete a Record: Deletes a record by its ID.
Get a Record: Retrieves a single record by its ID.
Make an API Call: Performs an arbitrary authorized API call.
Update a Record: Updates a record by its ID.
Upsert a Record: Creates new or updates an existing record.",Search Records: Searches for specific records or returns all records.,"Watch Records: Returns all newly created or updated records in a view (requires ""Created Time"" or ""Last Modified Time"" fields).
Watch Responses: Triggers when a new response is submitted.",
4,It-Development,"OpenAI (ChatGPT, Whisper, DALL-E)","Connect OpenAI (ChatGPT, Whisper, DALL-E) with any of your favorite apps in just a few clicks. Design, build, and automate anything for your work by integrating apps like OpenAI (ChatGPT, Whisper, DALL-E) to create visual automated workflows. Choose from thousands of ready-made apps or use our no-code toolkit to connect to apps not yet in our library.",docs\openai-gpt-3.md,"Add Files to a Vector Store: Adds files to a specified vector store or, if not specified, creates a new vector store based on the configuration.
Analyze Images (Vision): Analyzes images according to specified instructions.
Create a Completion (GPT-3, GPT-3.5, GPT-4): Creates a completion for a prompt or chat.
Create a Moderation: Classifies if text violates OpenAI's Content Policy.
Create a Transcription (Whisper): Transcribes an audio to text.
Create a Translation (Whisper): Translates an audio to English.
Edit an Image: Edits or extends an image.
Generate an Audio: Generates an audio file based on text input and settings.
Generate an Image: Generates an image using DALL-E. 
Make an API Call: Performs an arbitrary authorized API call.
Message an Assistant: Adds messages to the specified or newly created thread and runs it. The module allows to send the arguments for your function calls to the specified URLs.
Transform Text to Structured Data: Identifies information in a prompt's text and returns it as structured data.
Upload a File: Uploads a file to be used across the OpenAI platform.",,,
5,File-Document-Management,Google Drive,"Connect Google Drive with any of your favorite apps in just a few clicks. Design, build, and automate anything for your work by integrating apps like Google Drive to create visual automated workflows. Choose from thousands of ready-made apps or use our no-code toolkit to connect to apps not yet in our library.",docs\google-drive.md,"Copy a File: Makes a copy of an existing file.
Create a File/Folder Shortcut: Creates a new file or folder shortcut.
Create a File from Text: Creates a file from a text plain.
Create a Folder: Creates a new folder.
Create a Shared Drive: Creates a new shared drive.
Delete a File/Folder: Permanently deletes a file or folder owned by the user without moving it to the trash. 
Delete a File Revision: Deletes a file's revision.
Delete a Shared Drive: Deletes a shared drive without any content.
Download a File: Downloads a file.
Get a File/Folder Path for an ID: Retrieves a file or folder path for an ID.
Get a File Revision: Gets a specified file's revision.
Get a Shared Drive: Gets a shared drive's metadata by ID.
Get a Share Link: Gets a share link for file or folder.
Make an API Call: Performs an arbitrary authorized API call.
Move a File/Folder: Moves a file or folder to a different location in Google Drive.
Move a File/Folder to Trash: Moves a file or folder to trash.
Rename a Folder: Renames an existing folder.
Revoke a File/Folder Access: Revokes a file or folder access.
Update a File: Updates a file's metadata and/or content.
Update a File/Folder Access: Updates an exisitng file or folder access.
Update a File Revision: Updates an existing file's revision.
Update a Shared Drive: Updates an existing shared drive. For admins only.
Upload a File: Uploads a new file.","Get a Folder ID for a Path: Retrieves a folder ID for a folder path.
List File Revisions: Retrieves a list of file's revisions.
Search for Files/Folders: Searches for files or folders based on search criteria.
Search for Shared Drives: Searches for Google Shared Drives with query options.","Watch All Files: Triggers when a file is created of modified.
Watch Comments: Triggers when a comment is created or updated on a selected file.
Watch Files in a Folder: Triggers when a file is created or modified in a selected folder.
Watch Folders: Triggers when a new folder is created or modified.
Watch Shared Drives: Triggers when a new shared drive is created.",
6,Productivity,Notion,"Connect Notion with any of your favorite apps in just a few clicks. Design, build, and automate anything for your work by integrating apps like Notion to create visual automated workflows. Choose from thousands of ready-made apps or use our no-code toolkit to connect to apps not yet in our library.",docs\notion.md,"Append a Database Item Content: Appends a new database item content.
Append a Page Content: Appends a new page content.
Create a Database: Creates a new database as a subpage in a specified page.
Create a Database Item: Creates a new item in a database.
Create a Page: Creates a new page in a specified page.
Delete a Page Content: Sets a page content/block, as archived.
Get a Database: Gets a specified database.
Get a Database Item: Gets a specified database item.
Get a Page: Gets a specified page.
Get a Page Content: Get a specified page content/block.
Make an API Call: Performs an arbitrary authorized API call.
Update a Database: Updates an existing database.
Update a Database Item: Updates an existing database item.
Update a Page: Updates an existing page.
Update a Page Content: Updates an existing page content/block.","List Page Contents: Retrieves a list of page contents.
List Page Property Items: Retrieves a list of paginated page property items. Possible property types are title, text, relation, and person.
List Users: Retrieves a list of users.
Search Objects: Searches for objects of a page, database, or database item.","Watch Database Items: Triggers when a database item is created or updated.
Watch Databases/Pages: Triggers when a database or page is created and updated.
Watch Page Contents: Triggers when a page content is created.",
7,Communication,Slack,"Connect Slack with any of your favorite apps in just a few clicks. Design, build, and automate anything for your work by integrating apps like Slack to create visual automated workflows. Choose from thousands of ready-made apps or use our no-code toolkit to connect to apps not yet in our library.",docs\slack.md,"Add a Reaction: Adds a reaction to an item.
Add a Star: Adds a star to a channel.
Archive a Channel: Archives a channel.
Complete a Reminder: Completes a reminder.
Create a Channel: Creates a channel.
Create a Message: Creates a message.
Create a Reminder: Creates a reminder.
Create a Text File: Creates a text file.
Delete a File: Deletes a file.
Delete a Message: Removes a message.
Delete a Reminder: Removes a reminder.
Download a File: Downloads a file.
Get a Channel: Returns details about a channel.
Get a File: Returns details about a file.
Get a Private Channel Message: Returns a message with a given ID from a specified private channel.
Get a Public Channel Message: Returns a message with a given ID from a specified public channel.
Get a Reminder: Returns details about a reminder.
Get a User: Returns details about a member of a workspace.
Invite Users: Invites 1-30 users to a public or private channel.
Join a Channel: Joints to an existing channel.
Kick a User: Removes a user from a channel.
Leave a Channel: Leaves a channel.
Make an API Call: Performs an arbitrary authorized API call.
Pin a Message: Pins a message to a channel.
Remove a Reaction: Removes a reaction.
Remove a Star: Removes a star from a channel.
Remove Saved Item: Removes a saved item.
Save an Item: Adds an Item to saved items.
Set a Status: Update a user's current status.
Set the Purpose of a Channel: Changes the purpose of a channel.
Set the Topic of a Channel: Changes the topic of a channel.
Unarchive a Channel: Unarchives a channel.
Unpin a Message: Unpins a message from a channel.
Update a Message: Updates a message.
Upload a File: Creates or uploads a file.","List Channels: Returns a list of channels in a workspace.
List Files: Returns a list of files within a team.
List Members in a Channel: Retrieves members of a channel.
List Reactions: Returns reactions a user made.
List Reminders: List all reminders created by or for a given user.
List Replies: Retrieves a thread of messages posted to a conversation.
List Users: Returns a list of all users in a workspace.
Search for Message: Returns messages matching a search query.
Search for User: Retrieves a single user by looking them up by their registered email address.","New Event: Triggers when a new message or other events are created.
Watch Direct Messages: Triggers when a new message is added to a direct message channel.
Watch Files: Triggers when a new file is added.
Watch Multiparty Direct Messages: Triggers when a new message is added to a multiparty direct message channel.
Watch Private Channel Messages: Triggers when a new message is added to a private channel.
Watch Public Channel Messages: Triggers when a new message is added to a public channel.
Watch Users: Triggers when a new user is added or an existing user has changed. Only emit the latest change since the last scenario run.",
8,Communication,Telegram Bot,"Connect Telegram Bot with any of your favorite apps in just a few clicks. Design, build, and automate anything for your work by integrating apps like Telegram Bot to create visual automated workflows. Choose from thousands of ready-made apps or use our no-code toolkit to connect to apps not yet in our library.",docs\telegram.md,"Answer an Inline Query: Sends answer to an inline query.
Create a Chat Invite Link: Creates an additional invite link for a chat.
Delete a Message: Deletes a message. A message can only be deleted if it was sent less than 48 hours ago.
Download a File: Downloads a file from the Telegram server.
Edit a Chat Invite Link: Edits a non-primary invite link created by the bot.
Edit a Media Message: Edits photo or video messages.
Edit a Message Caption: Edits a caption of a message.
Edit a Text Message: Edits text or game messages.
Forward a Message: Forwards messages of any kind. This module can be used to forward messages only within Telegram.
Get the Number of Members in a Chat: Use this module to get the number of members in a chat. Returns Int on success.
Kick a Chat Member: Use this method to kick a user from a group, a supergroup or a channel. The bot must be an administrator in the chat for this to work and must have the appropriate admin rights.
Make an API Call: Performs an arbitrary authorized API call.
Pin a Message: Pins a message.
Promote a Chat Member: Use this method to promote or demote a user in a supergroup or a channel. The bot must be an administrator in the chat for this to work and must have the appropriate admin rights.
Restrict a Chat Member: Use this method to restrict a user in a supergroup.
Revoke a Chat Invite Link: Revokes an invite link created by the bot.
Send a Document/Image: Sends a document or an image to your Telegram Desktop application.
Send an Album (Media Group): Sends a group of photos or videos as an album.
Send an Audio File: Sends an audio file to your Telegram Desktop application.
Send an Invoice: Sends an invoice.
Send a Photo: Sends a photo to your Telegram Desktop application.
Send a Sticker: Sends a .webp sticker to your Telegram Desktop application.
Send a Text Message or a Reply: Sends a text message or a reply to your Telegram Desktop application.
Send a Video: Sends a video file to your Telegram Desktop application.
Send a Video Note: As of v.4.0, Telegram clients support rounded square mp4 videos of up to 1 minute long. Use this method to send video messages.
Send a Voice Message: Sends a voice message
Send Media by URL or ID: Sends a file (document, photo, video, audio, ...) by HTTP URL or by ID that exists on the Telegram servers.
Unpin a Message: Unpins a message.","List Administrators in a Chat: Use this modules to get a list of administrators in a chat.
List Chats: List available Telegram chats.  By default, chats starting with the earliest unconfirmed update are returned. If you want to list more, you need to set the offset. This module cannot be used with webhooks. To use this module, you must switch off and remove all your Telegram webhooks.
List Updates: Retrieves a list of updates from the Telegram server. By default, updates starting with the earliest unconfirmed update are returned. If you want to list more, you need to set the offset. This module cannot be used with webhooks. To use this module, you must switch off and remove all your Telegram webhooks.",Watch Updates: Triggers when there is a new update from your Telegram Desktop application.,
9,Marketing,Facebook Lead Ads,"Connect Facebook Lead Ads with any of your favorite apps in just a few clicks. Design, build, and automate anything for your work by integrating apps like Facebook Lead Ads to create visual automated workflows. Choose from thousands of ready-made apps or use our no-code toolkit to connect to apps not yet in our library.",docs\facebook-lead-ads.md,"Get a Form: Returns information about the form.
Get Lead Details: Returns the information that the user filled in, in the lead generation form. Use this action after the New Lead trigger.

Unsubscribe a Webhook : The action unsubscribes a selected page from the connection to Make.",List Leads: Returns a list of leads.,"New Lead: Triggers when a new lead is created.
Watch Leads: Triggers when a new lead is created.",
10,Productivity,Google Calendar,"Connect Google Calendar with any of your favorite apps in just a few clicks. Design, build, and automate anything for your work by integrating apps like Google Calendar to create visual automated workflows. Choose from thousands of ready-made apps or use our no-code toolkit to connect to apps not yet in our library.",docs\google-calendar.md,"Clear a Calendar: Clears a primary calendar. This operation deletes all events associated with the primary calendar of an account.
Create a Calendar: Creates a new calendar.
Create an Access Control Rule: Creates a new access control rule.
Create an Event: Creates a new event.
Delete a Calendar: Deletes a calendar.
Delete an Access Control Rule: Deletes an access control rule.
Delete an Event: Deletes an event.
Duplicate an Event: Duplicates an event.
Get a Calendar: Returns metadata for a calendar.
Get an Access Control Rule: Returns metadata of an access control rule.
Get an Event: Returns metadata for an event in the specific calendar.
Get Free/Busy Information: Returns free/busy information for a set of calendars.
Make an API Call: Performs an arbitrary authorized API call.
Update a Calendar: Updates an existing calendar.
Update an Access Control Rule: Updates an existing access control rule.
Update an Event: Updates an existing event.","List Access Control Rules: Returns the rules in the access control list for the calendar.
List Calendars: Returns the calendars on the user's calendar list.
Search Events: Searches for events on the specified calendar.","Watch Events: Triggers when an event is created, updated, deleted, started or ended in a selected calendar. ",
