Player,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023
Kobe Bryant,"24,806,250","25,244,493","27,849,000","30,453,000","23,500,000","25,000,000",,,,,,,
Rashard Lewis,"19,573,711","21,136,631","15,052,181","1,399,507",,,,,,,,,
Kevin Garnett,"18,800,000","21,247,044","12,467,532","11,532,468","12,000,000","8,500,000","8,000,000",,,,,,
Tim Duncan,"18,700,000","21,164,619","9,638,554","10,361,446","10,361,446","5,250,000","5,643,750",,,,,,
Michael Redd,"18,300,000","1,308,506",,,,,,,,,,,
Pau Gasol,"17,823,000","18,714,150","19,000,000","19,285,850","7,128,000","7,448,760","15,500,000","16,000,000","17,133,285",,,,
Andrei Kirilenko,"17,823,000",,"9,779,349","3,183,000","3,326,235",,,,,,,,
Gilbert Arenas,"17,730,694","19,269,307","20,807,922","22,346,536",,,,,,,,,
Yao Ming,"17,686,100",,,,,,,,,,,,
Zach Randolph,"17,666,666","15,200,000","16,500,000","17,800,000","16,500,000","10,000,000","10,000,000","12,307,692","11,692,308",,,,
Vince Carter,"17,300,000","21,300,000","3,120,000","3,180,000","3,911,981","4,088,019","4,264,057","8,000,000","2,393,887","2,564,753",,,
Dirk Nowitzki,"17,278,618","19,092,873","20,907,128","22,721,381","7,974,482","8,333,333","25,000,000","5,000,000","5,000,000",,,,
Carmelo Anthony,"17,149,243","18,518,574","19,450,000","21,490,000","22,458,401","22,875,000","24,559,380","26,243,760","2,393,887","2,159,029","2,564,753","2,641,691",
Dwight Howard,"16,647,180","18,091,770","19,261,200","20,513,178","21,436,271","22,359,364","23,500,000","23,500,000","24,256,725","2,564,753","2,564,753","2,641,691",
Kenyon Martin,"16,545,454","2,500,000","429,516","1,399,507","818,049",,,,,,,,
Amare Stoudemire,"16,486,611","18,217,705","19,948,799","21,679,893","21,896,658","1,499,187",,,,,,,
Joe Johnson,"16,324,500","18,038,573","19,752,645","21,466,718","23,180,790","22,309,344","11,000,000","10,254,904",,,,"151,821",
Elton Brand,"15,959,099","17,059,727","18,160,354","4,000,000","2,000,000","890,693","980,000",,,,,,
Predrag Stojakovic,"15,532,320",,,,,,,,,,,,
Chris Paul,"14,940,153","16,359,805","17,779,457","18,668,431","20,068,563","21,468,695","22,868,827","24,268,959","35,654,150","38,506,482","41,358,814","30,800,000","28,400,000"
Deron Williams,"14,940,152","16,359,805","17,177,795","18,466,130","19,754,465","10,853,761","14,885,520","5,474,787","5,474,787",,,,
LeBron James,"14,500,000","16,022,500","17,545,000","19,067,500","20,644,400","22,970,500","30,963,450","33,285,709","35,654,150","37,436,858","39,219,566","41,180,544","44,474,988"
Chris Bosh,"14,500,000","16,022,500","17,545,000","19,067,500","20,644,400","22,192,730","23,741,060","25,289,390","26,837,720",,,,
Jason Richardson,"14,444,444","5,395,000","5,799,625","6,204,250","6,601,125",,,,,,,,
Carlos Boozer,"14,400,000","13,500,000","15,000,000","15,300,000","16,800,000",,,,,,,,
Dwyane Wade,"14,200,000","15,691,000","17,024,000","18,536,000","15,000,000","20,000,000","23,200,000","17,878,652","2,393,887",,,,
Paul Pierce,"13,876,321","15,333,334","16,790,345","15,333,334","5,305,000","3,376,000","3,527,920","3,679,840",,,,,
Andrew Bynum,"13,700,000","14,900,000","16,473,002","7,000,000",,,,,,,,,
Rudy Gay,"13,603,750","15,032,144","16,460,532","17,888,932","19,317,326","12,403,101","13,333,333","8,406,000","10,087,200","14,500,000","14,500,000","5,890,000","6,184,500"
Brandon Roy,"13,520,500","16,032,144","21,459,805","17,779,458","14,399,332",,,,,,,,
Tony Parker,"13,500,000","12,500,000","12,500,000","12,500,000","12,500,000","13,437,500","14,445,313","15,453,126","5,000,000",,,,
Samuel Dalembert,"13,428,129","7,000,000","6,700,000","3,700,748","1,885,755","1,499,187",,,,,,,
Antawn Jamison,"13,358,905","15,076,715","1,352,181","1,399,507",,,,,,,,,
Nick Collison,"13,250,000","3,272,997","2,929,332","2,585,668","2,242,003","3,750,000","3,750,000","2,328,652",,,,,
Chauncey Billups,"13,150,000","14,200,000","3,000,000","2,500,000",,,,,,,,,
Baron Davis,"13,000,000","15,252,181","14,850,000",,,,,,,,,,
