Name,Title,Total students,Reviews,Udemy link,Social links
"Keino Campbell, Esq.",TOEFL iBT and IELTS Specialist,"408,486","53,569",https://www.udemy.com/user/keinocampbell/,"['http://www.tiexams.com', 'https://twitter.com/tiexams', 'https://www.facebook.com/toeflinstructor']"
Anthony Kelleher,Bachelor of Arts TESOL - English Teacher at Sir English,"645,663","76,800",https://www.udemy.com/user/anthony845/,"['http://www.EnglishAnthony.com', 'https://www.youtube.com/user/sirenglishchannel']"
Peter Hanley,"Best Selling Language Instructor, creator of THE METHOD.","144,328","45,849",https://www.udemy.com/user/4d600c77-d655-4855-811e-376e318a55ab/,"['https://www.facebook.com/groups/SpanishforBeginnersGroup/', 'https://www.facebook.com/groups/SpanishforBeginnersGroup', 'https://www.youtube.com/channel/UCXU_cpkMY2rpzargIBzYWGw']"
Kevin deLaplante,"PhD, Philosopher, Founder of the Critical Thinker Academy","139,625","32,929",https://www.udemy.com/user/kevindelaplante/,"['https://argumentninja.com', 'https://twitter.com/kevindelaplante', 'https://www.facebook.com/CriticalThinkerAcademy', 'https://linkedin.com/in/kevindelaplante/', 'https://www.youtube.com/PhilosophyFreak']"
Luke Priddy,Innovative English Courses,"222,776","53,841",https://www.udemy.com/user/alto-ray/,"['https://www.cloudenglish.net', 'https://www.facebook.com/cloudenglish.net', 'https://linkedin.com/in/lukepriddy/', 'https://www.youtube.com/c/cloudenglish']"
Scott Mendoza,English for Everyone,"360,090","27,678",https://www.udemy.com/user/scottmendoza/,['https://www.langpill.com/']
Logus Academy,Online School of the Future,"118,686","23,277",https://www.udemy.com/user/logus/,[]
Kieran Ball,"Creator of the ""3 Minute Languages"" series of courses","425,834","69,880",https://www.udemy.com/user/kieran-ball-2/,"['https://www.3mlang.com', 'https://twitter.com/3MLanguages', 'https://www.facebook.com/3MinuteLanguages', 'https://linkedin.com/in/kieran-ball-434558148', 'https://www.youtube.com/@3MinuteLanguages']"
Navin Reddy,Corporate Trainer & TEDx Speaker,"229,127","26,629",https://www.udemy.com/user/navinreddy2/,"['https://www.telusko.com', 'https://www.facebook.com/navinreddy20', 'https://linkedin.com/in/navin-reddy-08a17651/', 'https://www.youtube.com/telusko']"
AbcEdu Online,"Interactive Board - 30+ years teaching, 200.000+ Students","207,520","33,623",https://www.udemy.com/user/razvan-savu-2/,['http://www.abcedu.online']
Minoo Short,Head Tutor at Anglo-Link Languages,"55,851","18,104",https://www.udemy.com/user/minooshort/,"['http://www.anglo-link.com', 'https://twitter.com/AngloLink', 'https://www.facebook.com/AngloLink', 'https://www.youtube.com/MinooAngloLink']"
Evrim Kanbur,Entrepreneur | Lecturer | Keynote Speaker | Consultant,"55,242","19,241",https://www.udemy.com/user/evrimkanbur/,"['http://evrimkanbur.com', 'https://twitter.com/whiletravelling', 'https://linkedin.com/in/evrimkanbur/']"
Krista King,"Your geeky, trusty math tutor","249,157","62,816",https://www.udemy.com/user/kristaking/,"['http://www.kristakingmath.com/', 'https://twitter.com/kristakingmath', 'https://www.facebook.com/KristaKingMath', 'https://linkedin.com/in/kristak/']"
Jacqueline Seidel,"Managing Director, Training Specialist","145,724","41,600",https://www.udemy.com/user/jacquelineseidel/,"['http://www.oconnell-training.com', 'https://twitter.com/OConnellTrg', 'https://www.facebook.com/oconnellTS', 'https://linkedin.com/in/seideljacqueline', 'https://www.youtube.com/channel/UC1XnRnVOwFfiOULnTeEbxKw']"
Sandra 11Percent,Making German fun since 2011,"116,529","15,492",https://www.udemy.com/user/eleven-percent/,"['http://11percent.de/', 'https://twitter.com/eleven11percent', 'https://linkedin.com/in/eleven-percent-80b8b1143/', 'https://www.youtube.com/channel/UCLXV6sAT89I3gN3veiGhwjA']"
The IELTS Teacher,The Web's #1 IELTS Skype Tuition Site,"74,953","22,881",https://www.udemy.com/user/mattrainsbury/,"['http://theieltsteacher.com', 'https://twitter.com/theieltsteacher', 'https://www.facebook.com/theieltsteacher', 'https://linkedin.com//in/matthew-rainsbury/', 'https://www.youtube.com/theieltsteacher']"
Kevin Knight,Learning Technologist,"24,468","10,363",https://www.udemy.com/user/kevin-knight-9/,[]
Robert Folker,Intelligence Officer,"66,022","13,964",https://www.udemy.com/user/robert-folker/,"['https://twitter.com/FolkerJr', 'https://linkedin.com/in/rob-folker-45a19740', 'https://www.youtube.com/channel/UC9CfeNu1YUGZoKbnYqymoFg']"
"Sabri C. PMP | 130,000+ Enrollments Worldwide",CEO at casePM,"114,083","19,641",https://www.udemy.com/user/pmp-sabri-calisici/,"['http://www.casepm.net', 'https://linkedin.com/in/sabri-ç-53037273/', 'https://www.youtube.com/channel/UC8BHcnIk_YBx2ZkKjZlKxBg']"
Bianka Molnar English Language Teacher,Entertaining English Education,"28,585","9,869",https://www.udemy.com/user/bubblebeetv/,"['http://bubblebeetv.com', 'https://www.facebook.com/BubbleBeeTV', 'https://www.youtube.com/channel/UCedtLbtVRPkxbr3qZD8nNkA']"
Kendra Lucas,English instructor,"54,029","11,530",https://www.udemy.com/user/kendra-lucas/,"['http://fluencyking.com', 'https://www.facebook.com/fluencyking', 'https://www.youtube.com/channel/UC25tXbwYBqhL920aopqOjTA']"
Shayna Oliveira,English as a Second Language Teacher,"140,207","18,212",https://www.udemy.com/user/shayna/,"['http://www.espressoenglish.net', 'https://twitter.com/espressoenglish', 'https://www.facebook.com/Espresso-English-314839328539430/', 'https://www.youtube.com/espressoenglishnet']"
Simple3 L,Partner at Simple3,"98,345","10,857",https://www.udemy.com/user/seanmartin/,"['https://twitter.com/svmartin', 'https://www.facebook.com/svmartin']"
Kain Ramsay,Teacher of Modern Applied Psychology & Personal Development,"642,802","160,557",https://www.udemy.com/user/kainramsay/,"['https://kainramsay.com', 'https://twitter.com//kainramsay', 'https://www.facebook.com/KainRamsay/', 'https://linkedin.com/in/kainramsay/', 'https://www.youtube.com/channel/UCfu-Mf885W4SVN05RLJxIzg/']"
David Morris,IELTS & English Language Mentor,"88,203","14,787",https://www.udemy.com/user/893dacf4-9c18-47ff-ae6a-407d67c2f792/,[]
Seçkin Esen,İngilizce Öğretmeni & Yazar,"233,125","26,928",https://www.udemy.com/user/seckin-esen/,"['http://seckinesen.com', 'https://twitter.com/seckinesen', 'https://www.facebook.com/esenseckin', 'https://linkedin.com/in/seckinesen', 'https://www.youtube.com/seckinesen']"
Nina Weinstein,"Teacher Trainer, MA ESL, Author of Twenty English Textbooks","30,844","11,118",https://www.udemy.com/user/ninaweinstein/,"['https://www.facebook.com/easyenglish.us.com', 'https://linkedin.com/in/ninaweinstein', 'https://www.youtube.com/ninaweinstein']"
For Your English,English Language Teacher,"80,636","14,749",https://www.udemy.com/user/kallan-anderson/,"['https://www.foryourenglish.com/', 'https://www.facebook.com/https://www.facebook.com/AskForYourEnglish/', 'https://www.youtube.com/https://www.youtube.com/c/foryourenglish']"
Maria Guryeva,Private Coach on Applying to US Universities,"30,976","8,090",https://www.udemy.com/user/mariaguryeva/,['http://www.study-america.org/']
Attain Online Japanese Language School,"Japanese language education, online Japanese learning","93,448","24,150",https://www.udemy.com/user/online-japanese/,"['https://aoj-ls.jp/en/', 'https://twitter.com/TalkInJapan', 'https://www.facebook.com/TalkInJapan', 'https://www.youtube.com/TalkInJapan']"
Leandro Caruso,Environmental Engineer / Solar PV Operations Manager,"26,996","9,450",https://www.udemy.com/user/f1f269ce-4255-4056-9549-f02e594ddf4e/,['https://www.facebook.com/https://www.facebook.com/leandro.caruso.186']
TJ Walker,Success through Communication Skills & Habits,"1,894,744","193,719",https://www.udemy.com/user/tjwalker2/,"['http://www.tjwalker.com', 'https://twitter.com/TJWalkerHabit', 'https://www.facebook.com/tjwalkersuccess', 'https://linkedin.com/in/tjwalkersuccess/', 'https://www.youtube.com/@tjwalkersuccess']"
EDOOTV - The knowledge dispenser,Eduflix Italia S.r.l.,"19,308","7,633",https://www.udemy.com/user/edootv/,"['http://www.edootv.com', 'https://www.facebook.com/edootv', 'https://www.youtube.com/user/edootvENG']"
Alexa Fischer,"Speaker, confidence coach and entrepreneur","219,925","65,609",https://www.udemy.com/user/alexafischer/,"['http://www.alexafischer.com/', 'https://twitter.com/1000WattAlexa', 'https://www.facebook.com/alexafischer.official', 'https://linkedin.com/in/alexafischer/', 'https://www.youtube.com/user/alexafischer']"
Terry Mc Gonigle,Expert English language teacher,"170,062","23,465",https://www.udemy.com/user/terry-gonigle/,['https://www.englishwithterry.com/']
