address,coordinates
"744 Brown St #3, Lexington, NC 27292","{'latitude': 35.784748, 'longitude': -80.27183}"
"865 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.78869, 'longitude': -80.272964}"
"310 Kimberly Ln, Lexington, NC 27292","{'latitude': 35.77278, 'longitude': -80.250755}"
"714 Brown St #6, Lexington, NC 27292","{'latitude': 35.784603, 'longitude': -80.2713}"
"674 Brown St #10, Lexington, NC 27292","{'latitude': 35.784412, 'longitude': -80.27058}"
"117 Trafalgar Dr, Lexington, NC 27292","{'latitude': 35.78784, 'longitude': -80.242165}"
"108 Mayfair Rd, Lexington, NC 27292","{'latitude': 35.77633, 'longitude': -80.256805}"
"877 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.790012, 'longitude': -80.272804}"
"1171 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.778847, 'longitude': -80.2194}"
"724 Brown St, Lexington, NC 27292","{'latitude': 35.785015, 'longitude': -80.271286}"
"Brown St, Lexington, NC","{'latitude': 35.785393, 'longitude': -80.274635}"
"200 Albemarle St, Lexington, NC 27292","{'latitude': 35.791603, 'longitude': -80.26379}"
"1000 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.78741, 'longitude': -80.27354}"
"247 Fisher St, Lexington, NC 27292","{'latitude': 35.763214, 'longitude': -80.24354}"
"1213 Fairview Dr, Lexington, NC 27292","{'latitude': 35.79271, 'longitude': -80.254456}"
"1218 Cotton Grove Rd, Lexington, NC 27292","{'latitude': 35.789837, 'longitude': -80.26115}"
"85 Crest Cir, Lexington, NC","{'latitude': 35.785686, 'longitude': -80.23106}"
"1230 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.784348, 'longitude': -80.27451}"
"694 Brown St, Lexington, NC 27292","{'latitude': 35.784508, 'longitude': -80.27094}"
"112 Rogers Rd, Lexington, NC 27292","{'latitude': 35.76834, 'longitude': -80.25621}"
"754 Brown St, Lexington, NC 27292","{'latitude': 35.7848, 'longitude': -80.272}"
"871 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.788635, 'longitude': -80.27309}"
"189 Owens Rd, Lexington, NC 27292","{'latitude': 35.764435, 'longitude': -80.26535}"
"654 Brown St, Lexington, NC 27292","{'latitude': 35.784313, 'longitude': -80.270226}"
"114 Trafalgar Dr, Lexington, NC 27292","{'latitude': 35.78864, 'longitude': -80.24288}"
"535 Brown St, Lexington, NC 27292","{'latitude': 35.784626, 'longitude': -80.270615}"
"704 Brown St, Lexington, NC 27292","{'latitude': 35.784584, 'longitude': -80.27064}"
"734 Brown St, Lexington, NC 27292","{'latitude': 35.784702, 'longitude': -80.271645}"
"228 Oakwood Rd, Lexington, NC 27292","{'latitude': 35.768085, 'longitude': -80.21946}"
"764 Brown St #FCZVZB, Lexington, NC 27292","{'latitude': 35.78538, 'longitude': -80.2731}"
"0 Hartley Rd, Lexington, NC 27292","{'latitude': 35.759132, 'longitude': -80.2455}"
"290 Garden Dr, Lexington, NC 27292","{'latitude': 35.795624, 'longitude': -80.27703}"
"2544 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.761276, 'longitude': -80.22349}"
"State Highway 8, Lexington, NC","{'latitude': 35.763447, 'longitude': -80.262596}"
"208 Arbor Dr, Lexington, NC 27292","{'latitude': 35.794098, 'longitude': -80.22667}"
"702 Cardinal Dr, Lexington, NC 27292","{'latitude': 35.79121, 'longitude': -80.229}"
"2264 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.763557, 'longitude': -80.22229}"
"15 Albemarle St, Lexington, NC 27292","{'latitude': 35.79129, 'longitude': -80.2628}"
"111 Highgate Ln, Lexington, NC 27292","{'latitude': 35.79389, 'longitude': -80.250694}"
"9 Victor St, Lexington, NC 27292","{'latitude': 35.794422, 'longitude': -80.2636}"
"121 Glendale Rd, Lexington, NC 27292","{'latitude': 35.77299, 'longitude': -80.25423}"
"149 Taylors Park Rd, Lexington, NC 27292","{'latitude': 35.766617, 'longitude': -80.26766}"
"188 Pete Fritts Rd, Lexington, NC 27292","{'latitude': 35.78541, 'longitude': -80.22113}"
"520 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.793766, 'longitude': -80.27049}"
"112 Magnolia Rd, Lexington, NC 27292","{'latitude': 35.792206, 'longitude': -80.2446}"
"410 Bill Lohr Rd, Lexington, NC 27292","{'latitude': 35.76896, 'longitude': -80.26343}"
"208 Sea Mountain Ln, Lexington, NC 27292","{'latitude': 35.778137, 'longitude': -80.26988}"
"118 Park Ln, Lexington, NC 27292","{'latitude': 35.79579, 'longitude': -80.2245}"
"Cotton Grove Rd, Lexington, NC 27292","{'latitude': 35.77727, 'longitude': -80.25966}"
"200 Bill Medlin Rd, Lexington, NC 27292","{'latitude': 35.782352, 'longitude': -80.26985}"
"112 Cullen Ct, Lexington, NC 27292","{'latitude': 35.78423, 'longitude': -80.2784}"
"1217 Cotton Grove Rd, Lexington, NC 27292","{'latitude': 35.789757, 'longitude': -80.26223}"
"103 Albemarle St, Lexington, NC 27292","{'latitude': 35.79111, 'longitude': -80.26332}"
"144 Woodlawn St, Lexington, NC 27292","{'latitude': 35.784203, 'longitude': -80.22369}"
"277 Fisher St, Lexington, NC 27292","{'latitude': 35.76312, 'longitude': -80.243195}"
"668 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.78621, 'longitude': -80.21967}"
"1237 Owens Rd, Lexington, NC 27292","{'latitude': 35.772865, 'longitude': -80.27963}"
"1915 Southview Rd, Lexington, NC 27292","{'latitude': 35.771393, 'longitude': -80.2583}"
"Fairview Dr, Lexington, NC 27292","{'latitude': 35.78719, 'longitude': -80.25996}"
"329 Kimberly Ln, Lexington, NC 27292","{'latitude': 35.771427, 'longitude': -80.248634}"
"1225 Fairview Dr, Lexington, NC 27292","{'latitude': 35.78947, 'longitude': -80.25712}"
"1131 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.77952, 'longitude': -80.2188}"
"117 Oakdale St, Lexington, NC 27292","{'latitude': 35.770153, 'longitude': -80.25499}"
"960 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.786457, 'longitude': -80.27388}"
"2015 Southview Rd, Lexington, NC 27292","{'latitude': 35.768684, 'longitude': -80.25803}"
"1085 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.785915, 'longitude': -80.2726}"
"277 Still Meadows Ln, Lexington, NC 27292","{'latitude': 35.7772, 'longitude': -80.22457}"
"786 Moore Dr, Lexington, NC 27292","{'latitude': 35.795586, 'longitude': -80.27055}"
"Kimberly Ln, Lexington, NC 27292","{'latitude': 35.771988, 'longitude': -80.24937}"
"109 Oakdale St, Lexington, NC 27292","{'latitude': 35.769524, 'longitude': -80.25631}"
"128 Deer Haven Ln, Lexington, NC 27292","{'latitude': 35.786903, 'longitude': -80.241325}"
"684 Brown St, Lexington, NC 27292","{'latitude': 35.78559, 'longitude': -80.2727}"
"142 Pete Fritts Rd, Lexington, NC 27292","{'latitude': 35.78439, 'longitude': -80.22075}"
"1132 Owens Rd, Lexington, NC 27292","{'latitude': 35.772194, 'longitude': -80.275826}"
"969 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.78776, 'longitude': -80.273}"
"189 Quail Ridge Dr, Lexington, NC 27292","{'latitude': 35.779316, 'longitude': -80.27029}"
"305 Kimberly Ln, Lexington, NC 27292","{'latitude': 35.77235, 'longitude': -80.251045}"
"109 Mayfair Rd, Lexington, NC 27292","{'latitude': 35.775608, 'longitude': -80.25673}"
"163 Acacia Cir, Lexington, NC 27292","{'latitude': 35.79078, 'longitude': -80.23826}"
"128 Acacia Cir, Lexington, NC 27292","{'latitude': 35.791336, 'longitude': -80.23827}"
"347 Albert Dr, Lexington, NC 27292","{'latitude': 35.763077, 'longitude': -80.268135}"
"138 Owens Rd, Lexington, NC 27292","{'latitude': 35.764755, 'longitude': -80.2645}"
"292 Brown St, Lexington, NC 27292","{'latitude': 35.78393, 'longitude': -80.26377}"
"Koonts Ave, Lexington, NC 27292","{'latitude': 35.785522, 'longitude': -80.26351}"
"633 Owens Rd, Lexington, NC 27292","{'latitude': 35.766144, 'longitude': -80.2729}"
"859 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.78904, 'longitude': -80.273056}"
"859 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.788445, 'longitude': -80.273}"
"1402 Cotton Grove Rd, Lexington, NC 27292","{'latitude': 35.787304, 'longitude': -80.261345}"
"202 Golden Dr, Lexington, NC 27292","{'latitude': 35.765423, 'longitude': -80.272385}"
"144 Taylors Park Rd, Lexington, NC 27292","{'latitude': 35.76598, 'longitude': -80.26694}"
"State Highway 49, Lexington, NC","{'latitude': 35.75854, 'longitude': -80.259575}"
"119 Park Ln, Lexington, NC 27292","{'latitude': 35.795532, 'longitude': -80.223564}"
"160 Fisher St, Lexington, NC 27292","{'latitude': 35.762432, 'longitude': -80.244965}"
"776 Wildlife Rd, Lexington, NC 27292","{'latitude': 35.779263, 'longitude': -80.22996}"
"644 Brown St, Lexington, NC 27292","{'latitude': 35.78447, 'longitude': -80.27047}"
"1379 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.78224, 'longitude': -80.27486}"
"131 Ed Tiser Rd, Lexington, NC 27292","{'latitude': 35.786175, 'longitude': -80.27563}"
"144 Ed Tiser Rd, Lexington, NC 27292","{'latitude': 35.787006, 'longitude': -80.27442}"
"907 Country Club Dr, Lexington, NC 27292","{'latitude': 35.79276, 'longitude': -80.24117}"
"135 Garden Dr, Lexington, NC 27292","{'latitude': 35.794872, 'longitude': -80.27426}"
"113 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.77417, 'longitude': -80.25654}"
"840 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.783806, 'longitude': -80.220535}"
"1043 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.786713, 'longitude': -80.27268}"
"207 Arbor Dr, Lexington, NC 27292","{'latitude': 35.794304, 'longitude': -80.225945}"
"185 Acacia Cir, Lexington, NC","{'latitude': 35.79044, 'longitude': -80.23838}"
"367 Albert Dr, Lexington, NC 27292","{'latitude': 35.763073, 'longitude': -80.26843}"
"608 Cardinal Dr, Lexington, NC 27292","{'latitude': 35.7931, 'longitude': -80.231606}"
