address,coordinates,link,Sewer,Electric,Gas
"113 S Avondale Rd, Lexington, NC 27292","{'latitude': 35.77417, 'longitude': -80.25654}",https://www.zillow.com//homedetails/113-S-Avondale-Rd-Lexington-NC-27292/5712923_zpid/,Public Sewer,-,-
"840 Becks Church Rd, Lexington, NC 27292","{'latitude': 35.783806, 'longitude': -80.220535}",https://www.zillow.com//homedetails/840-Becks-Church-Rd-Lexington-NC-27292/53146912_zpid/,Septic Tank,-,-
"1043 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.786713, 'longitude': -80.27268}",https://www.zillow.com//homedetails/1043-Old-Linwood-Rd-Lexington-NC-27292/5729293_zpid/,Public Sewer,-,-
"207 Arbor Dr, Lexington, NC 27292","{'latitude': 35.794304, 'longitude': -80.225945}",https://www.zillow.com//homedetails/207-Arbor-Dr-Lexington-NC-27292/5711692_zpid/,Septic Tank,-,-
"185 Acacia Cir, Lexington, NC","{'latitude': 35.79044, 'longitude': -80.23838}","https://www.zillow.com//b/building/35.79044,-80.23838_ll/",-,-,-
"367 Albert Dr, Lexington, NC 27292","{'latitude': 35.763073, 'longitude': -80.26843}",https://www.zillow.com//homedetails/367-Albert-Dr-Lexington-NC-27292/5713234_zpid/,Septic Tank,-,-
"608 Cardinal Dr, Lexington, NC 27292","{'latitude': 35.7931, 'longitude': -80.231606}",https://www.zillow.com//homedetails/608-Cardinal-Dr-Lexington-NC-27292/53137088_zpid/,Septic Tank,-,-
"1059 Old Linwood Rd, Lexington, NC 27292","{'latitude': 35.7864, 'longitude': -80.2724}",https://www.zillow.com//homedetails/1059-Old-Linwood-Rd-Lexington-NC-27292/5729294_zpid/,-,-,-
"106 Trafalgar Dr, Lexington, NC 27292","{'latitude': 35.788494, 'longitude': -80.244545}",https://www.zillow.com//homedetails/106-Trafalgar-Dr-Lexington-NC-27292/53142172_zpid/,-,-,-
"106 Trafalgar Dr #4, Lexington, NC 27292","{'latitude': 35.788445, 'longitude': -80.24449}",https://www.zillow.com//homedetails/106-Trafalgar-Dr-4-Lexington-NC-27292/2058875135_zpid/,Public Sewer,Lexington City,Type: Natural Gas
"122 Adam Ct, Lexington, NC 27292","{'latitude': 35.78466, 'longitude': -80.27988}",https://www.zillow.com//homedetails/122-Adam-Ct-Lexington-NC-27292/53144517_zpid/,Public Sewer,-,-
"490 Bill Lohr Rd, Lexington, NC 27292","{'latitude': 35.769554, 'longitude': -80.26542}",https://www.zillow.com//homedetails/490-Bill-Lohr-Rd-Lexington-NC-27292/197536211_zpid/,-,-,-
"7 Glendale Rd, Lexington, NC 27292","{'latitude': 35.773323, 'longitude': -80.258385}",https://www.zillow.com//homedetails/7-Glendale-Rd-Lexington-NC-27292/5712867_zpid/,-,-,-
"285 Brown St, Lexington, NC 27292","{'latitude': 35.783253, 'longitude': -80.263565}",https://www.zillow.com//homedetails/285-Brown-St-Lexington-NC-27292/53144533_zpid/,Public Sewer,-,-
